score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
rf_F1_wf,AGRI,cell_gate,capture_0.2,all,0.2577,4,0
rf_F1_wf,AGRI,cell_gate,capture_0.2,development,0.2609,3,0
rf_F1_wf,AGRI,cell_gate,capture_0.2,holdout,0.2545,1,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,all,0.6635,4,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,development,0.6705,3,0
rf_F1_wf,AGRI,cell_gate,observed-label_auc,holdout,0.6565,1,0
rf_F1_wf,AGRI,object,observed-label_auc,all,0.6153,4,0
rf_F1_wf,AGRI,object,observed-label_auc,development,0.5966,3,0
rf_F1_wf,AGRI,object,observed-label_auc,holdout,0.6341,1,0
rf_F1_wf,ALL,cell_gate,capture_0.2,all,0.8588,7,7
rf_F1_wf,ALL,cell_gate,capture_0.2,development,0.8588,5,5
rf_F1_wf,ALL,cell_gate,capture_0.2,holdout,0.853,2,2
rf_F1_wf,ALL,cell_gate,observed-label_auc,all,0.8546,7,7
rf_F1_wf,ALL,cell_gate,observed-label_auc,development,0.8546,5,5
rf_F1_wf,ALL,cell_gate,observed-label_auc,holdout,0.8673,2,2
rf_F1_wf,ALL,object,observed-label_auc,all,0.856,9,8
rf_F1_wf,ALL,object,observed-label_auc,development,0.856,5,4
rf_F1_wf,ALL,object,observed-label_auc,holdout,0.85,4,4
rf_F1_wf,FLAT,cell_gate,capture_0.2,all,0.2778,7,2
rf_F1_wf,FLAT,cell_gate,capture_0.2,development,0.4579,5,2
rf_F1_wf,FLAT,cell_gate,capture_0.2,holdout,0.155,2,0
rf_F1_wf,FLAT,cell_gate,observed-label_auc,all,0.654,7,2
rf_F1_wf,FLAT,cell_gate,observed-label_auc,development,0.662,5,2
rf_F1_wf,FLAT,cell_gate,observed-label_auc,holdout,0.5822,2,0
rf_F1_wf,FLAT,object,observed-label_auc,all,0.5652,9,2
rf_F1_wf,FLAT,object,observed-label_auc,development,0.5652,5,2
rf_F1_wf,FLAT,object,observed-label_auc,holdout,0.5666,4,0
rf_F1_wf,UNIVERSE,cell_gate,capture_0.2,all,0.4932,6,3
rf_F1_wf,UNIVERSE,cell_gate,capture_0.2,development,0.6448,4,3
rf_F1_wf,UNIVERSE,cell_gate,capture_0.2,holdout,0.2898,2,0
rf_F1_wf,UNIVERSE,cell_gate,observed-label_auc,all,0.7516,6,4
rf_F1_wf,UNIVERSE,cell_gate,observed-label_auc,development,0.7678,4,3
rf_F1_wf,UNIVERSE,cell_gate,observed-label_auc,holdout,0.6816,2,1
rf_F1_wf,UNIVERSE,object,observed-label_auc,all,0.6693,9,4
rf_F1_wf,UNIVERSE,object,observed-label_auc,development,0.6149,5,2
rf_F1_wf,UNIVERSE,object,observed-label_auc,holdout,0.7142,4,2
rf_F1_wf,URBAN,cell_gate,capture_0.2,all,0.3778,6,2
rf_F1_wf,URBAN,cell_gate,capture_0.2,development,0.457,4,2
rf_F1_wf,URBAN,cell_gate,capture_0.2,holdout,0.2333,2,0
rf_F1_wf,URBAN,cell_gate,observed-label_auc,all,0.6263,6,2
rf_F1_wf,URBAN,cell_gate,observed-label_auc,development,0.6968,4,2
rf_F1_wf,URBAN,cell_gate,observed-label_auc,holdout,0.5697,2,0
rf_F1_wf,URBAN,object,observed-label_auc,all,0.5305,8,1
rf_F1_wf,URBAN,object,observed-label_auc,development,0.5553,4,1
rf_F1_wf,URBAN,object,observed-label_auc,holdout,0.5305,4,0
slope_neg,AGRI,cell_gate,capture_0.2,all,0.3258,5,2
slope_neg,AGRI,cell_gate,capture_0.2,development,0.2566,4,1
